timestamp,ppg
1561757712778,4154967.0
1561757712829,4156330.0
1561757712879,4153855.0
1561757712931,4148852.0
1561757712981,4144787.0
1561757713033,4142259.0
1561757713084,4141064.0
1561757713135,4141409.0
1561757713186,4142916.0
1561757713238,4144510.0
1561757713288,4145990.0
1561757713339,4147128.0
1561757713390,4148187.0
1561757713441,4149342.0
1561757713492,4150823.0
1561757713544,4152858.0
1561757713594,4154788.0
1561757713646,4157278.0
1561757713697,4159815.0
1561757713748,4162382.0
1561757713798,4164749.0
1561757713850,4166647.0
1561757713901,4160544.0
1561757713953,4157384.0
1561757714003,4155226.0
1561757714054,4154155.0
1561757714105,4154279.0
1561757714156,4155890.0
1561757714207,4157126.0
1561757714258,4157844.0
1561757714310,4158648.0
1561757714361,4159277.0
1561757714411,4159937.0
1561757714463,4160766.0
1561757714514,4162044.0
1561757714565,4163282.0
1561757714616,4165056.0
1561757714667,4166718.0
1561757714718,4168308.0
1561757714769,4169178.0
1561757714820,4165888.0
1561757714871,4160946.0
1561757714922,4156915.0
1561757714973,4153967.0
1561757715024,4152228.0
1561757715075,4151656.0
1561757715126,4152519.0
1561757715178,4153366.0
1561757715229,4153983.0
1561757715280,4154340.0
1561757715330,4154755.0
1561757715382,4155341.0
1561757715432,4156432.0
1561757715484,4157574.0
1561757715535,4159075.0
1561757715586,4160785.0
1561757715637,4162470.0
1561757715688,4164235.0
1561757715739,4165472.0
1561757715790,4162073.0
1561757715841,4157230.0
1561757715893,4150172.0
1561757715944,4148574.0
1561757715995,4148470.0
1561757716045,4149072.0
1561757716097,4150058.0
1561757716148,4150863.0
1561757716199,4151718.0
1561757716249,4152511.0
1561757716301,4153507.0
1561757716352,4154870.0
1561757716403,4156267.0
1561757716454,4158227.0
1561757716505,4160407.0
1561757716556,4162470.0
1561757716607,4164632.0
1561757716658,4165857.0
1561757716710,4162678.0
1561757716761,4158105.0
1561757716812,4154594.0
1561757716862,4152479.0
1561757716914,4151545.0
1561757716964,4152027.0
1561757717016,4153397.0
1561757717066,4154471.0
1561757717118,4155417.0
1561757717169,4156197.0
1561757717220,4156831.0
1561757717271,4157384.0
1561757717322,4158815.0
1561757717373,4160061.0
1561757717424,4161693.0
1561757717475,4163222.0
1561757717527,4164699.0
1561757717577,4165016.0
1561757717629,4161202.0
1561757717680,4156144.0
1561757717731,4151978.0
1561757717781,4149495.0
1561757717833,4147704.0
1561757717884,4148251.0
1561757717935,4148799.0
1561757717986,4149223.0
1561757718037,4149429.0
1561757718088,4149923.0
1561757718139,4150592.0
1561757718190,4151350.0
1561757718241,4152652.0
1561757718295,4153957.0
1561757718344,4155620.0
1561757718394,4157296.0
1561757718446,4157371.0
1561757718496,4153274.0
1561757718548,4147879.0
1561757718598,4143286.0
1561757718650,4140166.0
1561757718701,4138688.0
1561757718757,4138439.0
1561757718803,4139237.0
1561757718854,4139981.0
1561757718905,4140418.0
1561757718956,4140633.0
1561757719007,4141000.0
1561757719058,4141723.0
1561757719109,4142626.0
1561757719161,4144254.0
1561757719212,4146020.0
1561757719263,4147876.0
1561757719315,4149576.0
1561757719365,4149526.0
1561757719415,4145652.0
1561757719466,4140781.0
1561757719518,4136920.0
1561757719569,4134515.0
1561757719620,4133535.0
1561757719671,4133934.0
1561757719722,4135634.0
1561757719773,4136674.0
1561757719824,4137603.0
1561757719876,4139560.0
1561757719926,4140763.0
1561757719978,4142558.0
1561757720028,4144199.0
1561757720080,4146420.0
1561757720131,4148480.0
1561757720182,4150550.0
1561757720234,4151309.0
1561757720284,4147818.0
1561757720335,4143953.0
1561757720386,4140777.0
1561757720437,4138994.0
1561757720488,4138510.0
1561757720539,4139203.0
1561757720590,4140489.0
1561757720641,4141323.0
1561757720693,4142093.0
1561757720744,4142716.0
1561757720795,4143381.0
1561757720845,4144124.0
1561757720897,4145082.0
1561757720947,4146537.0
1561757720999,4148044.0
1561757721049,4149427.0
1561757721101,4150133.0
1561757721152,4146936.0
1561757721203,4142025.0
1561757721254,4137897.0
1561757721305,4134883.0
1561757721356,4133295.0
1561757721407,4132975.0
1561757721458,4133633.0
1561757721510,4134228.0
1561757721560,4134811.0
1561757721612,4135329.0
1561757721663,4135849.0
1561757721714,4136548.0
1561757721764,4137721.0
1561757721816,4139379.0
1561757721867,4142787.0
1561757721918,4144581.0
1561757721969,4145587.0
1561757722020,4142344.0
1561757722071,4137912.0
1561757722122,4133874.0
1561757722173,4131019.0
1561757722224,4129498.0
1561757722276,4129383.0
1561757722327,4130600.0
1561757722377,4131493.0
1561757722429,4132368.0
1561757722479,4132924.0
1561757722531,4133794.0
1561757722582,4134765.0
1561757722633,4136052.0
1561757722684,4137663.0
1561757722735,4139734.0
1561757722786,4141701.0
1561757722837,4143940.0
1561757722888,4145918.0
1561757722939,4144759.0
1561757722990,4140801.0
1561757723041,4136658.0
1561757723092,4133884.0
1561757723144,4132256.0
1561757723195,4131870.0
1561757723246,4132946.0
1561757723296,4134673.0
1561757723348,4135951.0
1561757723398,4137165.0
1561757723450,4138517.0
1561757723501,4139711.0
1561757723552,4141415.0
1561757723603,4143111.0
1561757723655,4145437.0
1561757723705,4147789.0
1561757723756,4150316.0
1561757723807,4152939.0
1561757723859,4153153.0
1561757723909,4149373.0
1561757723961,4146277.0
1561757724011,4144046.0
1561757724063,4143160.0
1561757724114,4143669.0
1561757724165,4145088.0
1561757724215,4146126.0
1561757724268,4147249.0
1561757724318,4148272.0
1561757724369,4148812.0
1561757724420,4149471.0
1561757724471,4150535.0
1561757724522,4152147.0
1561757724573,4153813.0
1561757724624,4155413.0
1561757724676,4157187.0
1561757724727,4157873.0
1561757724778,4154408.0
1561757724828,4149564.0
1561757724880,4145438.0
1561757724930,4142412.0
1561757724982,4140760.0
1561757725032,4140474.0
1561757725084,4141212.0
1561757725135,4141768.0
1561757725186,4142532.0
1561757725237,4143108.0
1561757725288,4143793.0
1561757725339,4144561.0
1561757725390,4145759.0
1561757725441,4146956.0
1561757725493,4148872.0
1561757725543,4150720.0
1561757725595,4152575.0
1561757725646,4154393.0
1561757725697,4152652.0
1561757725747,4148088.0
1561757725799,4143546.0
1561757725850,4137943.0
1561757725901,4137029.0
1561757725952,4137721.0
1561757726003,4138635.0
1561757726054,4139295.0
1561757726105,4140126.0
1561757726156,4140760.0
1561757726207,4141373.0
1561757726259,4142410.0
1561757726310,4143962.0
1561757726360,4145738.0
1561757726412,4147996.0
1561757726464,4150264.0
1561757726514,4152501.0
1561757726564,4153274.0
1561757726616,4150270.0
1561757726667,4145965.0
1561757726718,4142525.0
1561757726769,4140340.0
1561757726820,4139431.0
1561757726871,4140187.0
1561757726922,4141695.0
1561757726973,4142875.0
1561757727024,4144125.0
1561757727075,4145254.0
1561757727127,4146140.0
1561757727178,4147476.0
1561757727229,4148977.0
1561757727279,4151043.0
1561757727332,4152970.0
1561757727381,4154987.0
1561757727432,4157017.0
1561757727484,4158157.0
1561757727535,4154631.0
1561757727586,4149893.0
1561757727637,4145922.0
1561757727688,4143305.0
1561757727739,4141953.0
1561757727790,4141934.0
1561757727842,4143733.0
1561757727892,4144187.0
1561757727944,4144670.0
1561757727994,4145024.0
1561757728045,4145786.0
1561757728096,4146680.0
1561757728148,4147806.0
1561757728198,4149230.0
1561757728250,4151006.0
1561757728301,4152620.0
1561757728352,4153335.0
1561757728405,4149102.0
1561757728454,4143220.0
1561757728505,4138067.0
1561757728556,4134495.0
1561757728606,4132350.0
1561757728659,4131771.0
1561757728710,4132625.0
1561757728761,4133239.0
1561757728811,4133685.0
1561757728863,4134093.0
1561757728913,4134001.0
1561757728964,4134927.0
1561757729015,4135994.0
1561757729067,4137371.0
1561757729118,4138947.0
1561757729169,4140853.0
1561757729220,4142743.0
1561757729271,4144419.0
1561757729322,4142564.0
1561757729373,4137332.0
1561757729423,4132012.0
1561757729476,4128094.0
1561757729526,4125857.0
1561757729578,4124855.0
1561757729628,4125711.0
1561757729680,4126993.0
1561757729730,4127848.0
1561757729781,4128709.0
1561757729833,4130665.0
1561757729884,4132126.0
1561757729935,4133775.0
1561757729986,4135789.0
1561757730037,4138062.0
1561757730088,4140578.0
1561757730139,4142981.0
1561757730190,4144169.0
1561757730253,4140648.0
1561757730293,4135728.0
1561757730343,4132154.0
1561757730395,4130060.0
1561757730445,4129243.0
1561757730496,4129970.0
1561757730547,4131579.0
1561757730598,4132788.0
1561757730650,4133757.0
1561757730701,4134672.0
1561757730752,4135558.0
1561757730803,4136468.0
1561757730854,4137903.0
1561757730905,4139396.0
1561757730956,4140964.0
1561757731007,4142924.0
1561757731058,4144554.0
1561757731110,4144356.0
1561757731161,4139867.0
1561757731212,4134961.0
1561757731262,4130984.0
1561757731314,4128422.0
1561757731364,4127349.0
1561757731415,4127770.0
1561757731467,4129177.0
1561757731518,4129626.0
1561757731569,4130115.0
1561757731620,4130797.0
1561757731671,4131507.0
1561757731722,4132326.0
1561757731773,4133652.0
1561757731825,4137206.0
1561757731875,4139382.0
1561757731927,4141083.0
1561757731977,4142225.0
1561757732029,4138940.0
1561757732080,4133905.0
1561757732131,4129874.0
1561757732181,4126859.0
1561757732233,4125227.0
1561757732284,4125208.0
1561757732335,4126273.0
1561757732386,4127275.0
1561757732437,4128204.0
1561757732488,4129137.0
1561757732539,4129770.0
1561757732590,4130791.0
1561757732642,4132020.0
1561757732693,4133510.0
1561757732744,4135587.0
1561757732794,4137741.0
1561757732846,4139961.0
1561757732896,4142063.0
1561757732947,4142832.0
1561757732998,4139202.0
1561757733050,4134573.0
1561757733101,4130716.0
1561757733152,4127977.0
1561757733203,4126655.0
1561757733254,4127037.0
1561757733305,4128542.0
1561757733356,4129875.0
1561757733407,4130928.0
1561757733459,4132376.0
1561757733509,4133263.0
1561757733561,4134540.0
1561757733612,4136231.0
1561757733663,4138453.0
1561757733714,4140595.0
1561757733765,4143194.0
1561757733816,4148132.0
1561757733867,4150118.0
1561757733918,4148210.0
1561757733969,4143884.0
1561757734020,4140113.0
1561757734071,4137563.0
1561757734122,4136295.0
1561757734173,4136668.0
1561757734225,4138054.0
1561757734276,4139190.0
1561757734327,4140322.0
1561757734378,4141393.0
1561757734428,4142063.0
1561757734480,4143162.0
1561757734531,4144161.0
1561757734582,4145432.0
1561757734635,4147101.0
1561757734685,4148841.0
1561757734735,4150494.0
1561757734786,4152020.0
1561757734837,4150113.0
1561757734888,4145054.0
1561757734939,4139987.0
1561757734990,4136337.0
1561757735042,4134005.0
1561757735093,4132981.0
1561757735144,4133624.0
1561757735195,4134369.0
1561757735245,4135126.0
1561757735297,4135774.0
1561757735348,4135896.0
1561757735399,4136562.0
1561757735450,4137386.0
1561757735502,4138598.0
1561757735552,4140009.0
1561757735604,4141934.0
1561757735654,4143606.0
1561757735705,4145424.0
1561757735756,4146674.0
1561757735808,4137634.0
1561757735859,4132461.0
1561757735910,4129040.0
1561757735961,4126787.0
1561757736012,4126057.0
1561757736063,4126924.0
1561757736114,4127895.0
1561757736164,4128541.0
1561757736217,4129120.0
1561757736267,4129546.0
1561757736318,4130450.0
1561757736369,4131453.0
1561757736420,4132770.0
1561757736471,4134396.0
1561757736523,4136317.0
1561757736575,4138343.0
1561757736625,4140305.0
1561757736676,4141988.0
1561757736727,4141498.0
1561757736778,4136361.0
1561757736829,4130957.0
1561757736880,4126936.0
1561757736931,4124414.0
1561757736982,4123415.0
1561757737034,4123809.0
1561757737084,4125667.0
1561757737136,4126716.0
1561757737186,4127863.0
1561757737237,4128749.0
1561757737288,4129827.0
1561757737340,4131127.0
1561757737390,4132867.0
1561757737442,4134515.0
1561757737493,4136822.0
1561757737544,4139308.0
1561757737595,4141874.0
1561757737646,4144171.0
1561757737697,4145736.0
1561757737748,4143056.0
1561757737799,4135430.0
1561757737851,4133037.0
1561757737902,4132196.0
1561757737953,4132943.0
1561757738003,4134600.0
1561757738055,4135938.0
1561757738105,4136991.0
1561757738156,4137950.0
1561757738208,4138878.0
1561757738259,4139610.0
1561757738310,4140798.0
1561757738361,4142158.0
1561757738412,4143529.0
1561757738463,4145609.0
1561757738514,4147328.0
1561757738565,4148667.0
1561757738617,4146416.0
1561757738668,4141432.0
1561757738718,4137275.0
1561757738770,4133972.0
1561757738821,4131930.0
1561757738872,4131546.0
1561757738922,4131989.0
1561757738974,4133206.0
1561757739025,4133834.0
1561757739076,4134685.0
1561757739127,4135314.0
1561757739178,4136030.0
1561757739229,4137055.0
1561757739280,4138321.0
1561757739331,4139798.0
1561757739382,4141995.0
1561757739434,4144048.0
1561757739485,4145894.0
1561757739535,4147080.0
1561757739587,4144109.0
1561757739637,4139506.0
1561757739689,4135282.0
1561757739740,4132333.0
1561757739792,4130215.0
1561757739842,4131163.0
1561757739894,4131973.0
1561757739944,4132600.0
1561757739995,4133326.0
1561757740046,4134106.0
1561757740097,4134865.0
1561757740148,4135991.0
1561757740200,4137497.0
1561757740251,4139157.0
1561757740302,4141366.0
1561757740353,4143569.0
1561757740404,4145567.0
1561757740454,4147539.0
1561757740506,4146938.0
1561757740556,4142656.0
1561757740609,4138029.0
1561757740659,4134660.0
1561757740711,4132439.0
1561757740761,4131762.0
1561757740813,4132624.0
1561757740863,4134304.0
1561757740914,4135513.0
1561757740965,4136548.0
1561757741017,4137712.0
1561757741068,4139037.0
1561757741119,4140139.0
1561757741170,4141862.0
1561757741221,4143793.0
1561757741272,4146083.0
1561757741323,4148523.0
1561757741374,4150970.0
1561757741426,4153482.0
1561757741476,4155582.0
1561757741528,4153882.0
1561757741578,4149621.0
1561757741629,4145864.0
1561757741680,4143476.0
1561757741731,4142308.0
1561757741785,4144208.0
1561757741834,4145561.0
1561757741885,4146304.0
1561757741936,4147339.0
1561757741987,4148000.0
1561757742038,4148796.0
1561757742089,4149739.0
1561757742140,4150770.0
1561757742192,4152132.0
1561757742243,4153928.0
1561757742293,4155486.0
1561757742345,4157247.0
1561757742395,4156118.0
1561757742446,4151219.0
1561757742497,4146178.0
1561757742549,4142132.0
1561757742600,4139503.0
1561757742651,4138150.0
1561757742702,4138162.0
1561757742753,4138984.0
1561757742804,4139393.0
1561757742855,4139906.0
1561757742906,4140241.0
1561757742957,4140731.0
1561757743008,4141418.0
1561757743060,4142551.0
1561757743111,4143974.0
1561757743162,4145828.0
1561757743212,4147536.0
1561757743264,4149386.0
1561757743314,4151113.0
1561757743365,4149034.0
